CO_LEG,District,Step
Pierce025,8,300
Pierce026,0,300
Pierce027,1,300
Pierce028,1,300
Pierce029,8,300
Pierce031,1,300
San Juan040,6,300
Skagit010,6,300
Skagit021,0,300
Skagit039,0,300
Skagit040,6,300
Skamania015,9,300
Snohomish001,7,300
Snohomish010,6,300
Snohomish021,7,300
Snohomish032,7,300
Snohomish038,7,300
Snohomish039,6,300
Snohomish044,7,300
Snohomish048,6,300
Spokane003,4,300
Spokane004,4,300
Spokane006,4,300
Spokane007,4,300
Spokane009,4,300
Stevens007,4,300
Thurston002,3,300
Thurston020,3,300
Thurston022,1,300
Thurston035,3,300
Wahkiakum019,3,300
Walla Walla016,5,300
Whatcom039,0,300
Whatcom040,0,300
Whatcom042,0,300
Whitman009,4,300
Yakima013,9,300
Yakima014,9,300
Yakima015,9,300
CO_LEG,District,Step
Adams009,6,325
Asotin009,4,325
Benton008,9,325
Benton016,9,325
Chelan012,6,325
Clallam024,2,325
Clark015,9,325
Clark017,3,325
Clark018,3,325
Clark049,3,325
Columbia016,5,325
Cowlitz018,3,325
Cowlitz019,3,325
Douglas012,6,325
Ferry007,4,325
Franklin009,5,325
Franklin016,5,325
Garfield009,4,325
Grant012,6,325
Grant013,6,325
Grays Harbor019,3,325
Grays Harbor024,2,325
Grays Harbor035,2,325
Island010,6,325
Jefferson024,2,325
King001,6,325
King005,6,325
King011,1,325
King030,1,325
King031,1,325
King032,7,325
King033,1,325
King034,0,325
King036,7,325
King037,0,325
King039,6,325
King041,0,325
King043,7,325
King045,6,325
King046,7,325
King047,1,325
King048,6,325
Kitsap023,0,325
Kitsap026,0,325
Kitsap035,0,325
Kittitas013,6,325
Klickitat015,9,325
Lewis020,3,325
Lincoln007,6,325
Mason035,3,325
Okanogan007,4,325
Okanogan012,6,325
Pacific019,3,325
Pend Oreille007,4,325
Pierce002,3,325
Pierce025,8,325
Pierce026,0,325
Pierce027,1,325
Pierce028,1,325
Pierce029,8,325
Pierce031,1,325
San Juan040,6,325
Skagit010,6,325
Skagit021,0,325
Skagit039,0,325
Skagit040,6,325
Skamania015,9,325
Snohomish001,7,325
Snohomish010,0,325
Snohomish021,0,325
Snohomish032,0,325
Snohomish038,7,325
Snohomish039,6,325
Snohomish044,7,325
Snohomish048,6,325
Spokane003,4,325
Spokane004,4,325
Spokane006,4,325
Spokane007,4,325
Spokane009,4,325
Stevens007,4,325
Thurston002,3,325
Thurston020,3,325
Thurston022,3,325
Thurston035,3,325
Wahkiakum019,3,325
Walla Walla016,5,325
Whatcom039,0,325
Whatcom040,0,325
Whatcom042,0,325
Whitman009,4,325
Yakima013,9,325
Yakima014,9,325
Yakima015,9,325
CO_LEG,District,Step
Adams009,6,350
Asotin009,4,350
Benton008,9,350
Benton016,9,350
Chelan012,6,350
Clallam024,2,350
Clark015,9,350
Clark017,3,350
Clark018,3,350
Clark049,3,350
Columbia016,5,350
Cowlitz018,3,350
Cowlitz019,3,350
Douglas012,6,350
Ferry007,6,350
Franklin009,6,350
Franklin016,5,350
Garfield009,4,350
Grant012,6,350
Grant013,6,350
Grays Harbor019,3,350
Grays Harbor024,2,350
Grays Harbor035,2,350
Island010,6,350
Jefferson024,2,350
King001,7,350
King005,6,350
King011,0,350
King030,1,350
King031,9,350
King032,7,350
King033,1,350
King034,0,350
King036,7,350
King037,7,350
King039,6,350
King041,6,350
King043,7,350
King045,7,350
King046,7,350
King047,0,350
King048,6,350
Kitsap023,0,350
Kitsap026,0,350
Kitsap035,0,350
Kittitas013,6,350
Klickitat015,9,350
Lewis020,3,350
Lincoln007,6,350
Mason035,3,350
Okanogan007,6,350
Okanogan012,6,350
Pacific019,3,350
Pend Oreille007,4,350
Pierce002,1,350
Pierce025,8,350
Pierce026,3,350
Pierce027,8,350
Pierce028,3,350
Pierce029,3,350
Pierce031,1,350
San Juan040,6,350
Skagit010,6,350
Skagit021,0,350
Skagit039,0,350
Skagit040,6,350
Skamania015,9,350
Snohomish001,7,350
Snohomish010,0,350
Snohomish021,0,350
Snohomish032,0,350
Snohomish038,7,350
Snohomish039,6,350
Snohomish044,7,350
Snohomish048,6,350
Spokane003,4,350
Spokane004,4,350
Spokane006,4,350
Spokane007,4,350
Spokane009,4,350
Stevens007,4,350
Thurston002,3,350
Thurston020,3,350
Thurston022,3,350
Thurston035,3,350
Wahkiakum019,3,350
Walla Walla016,5,350
Whatcom039,0,350
Whatcom040,0,350
Whatcom042,0,350
Whitman009,4,350
Yakima013,9,350
Yakima014,9,350
Yakima015,9,350
